"cell_id","sigma_new","omega_new","sigma_stage1","importer","good","adjust","hliml_status","final_source","sigma_prod","omega_prod","sigma_hliml_prod","omega_hliml_prod","sigma_step2_prod","omega_step2_prod","status_prod","sigma_diff","heuristic_boundary"
"64_6304",2.09737295541693,0.335471152444685,6.13498728760809,64,"6304",0,"ok","hliml",2.09737295540543,0.335471152443533,2.09737295540543,0.335471152443533,NA,NA,"ok",1.15045750703757e-11,FALSE
"643_8515",2.79682025466107,1e-04,3.36243425600712,643,"8515",1,"hliml_fail_no_convergence","step2_weighted",2.79682025466108,1e-04,NA,NA,2.79682025466108,1e-04,"ok",-6.66133814775094e-15,FALSE
"662_4008",2.73223258251713,10,2.02315657105577,662,"4008",5,"hliml_fail_no_convergence","step2_weighted",2.73223258251715,10,NA,NA,2.73223258251715,11.0629245788988,"ok",-1.95399252334028e-14,FALSE
"662_6405",2.77266266742753,3.25482074900291,4.71697194967563,662,"6405",0,"ok","hliml",2.77266266739034,3.25482074944359,2.77266266739034,3.25482074944359,3.47767702720687,3.86388822959245,"ok",3.71875863436344e-11,FALSE
"686_0712",1.2787723991808,0.160049635575893,6.29793107159875,686,"0712",0,"ok","hliml",1.27877239918085,0.160049635576009,1.27877239918085,0.160049635576009,1.32681224568788,0.242764635047298,"ok",-5.10702591327572e-14,FALSE
"688_6810",1.26406450983312,0.126169895508093,2.31816109235603,688,"6810",0,"ok","hliml",1.26406450983317,0.126169895508119,1.26406450983317,0.126169895508119,1.25429446472895,0.117885029517447,"ok",-4.66293670342566e-14,FALSE
"690_8420",10,1e-04,1.93405417497524,690,"8420",4,"hliml_fail_no_convergence","step2_weighted",10,1e-04,NA,NA,20.1028548079445,1e-04,"ok",0,TRUE
"690_9026",2.00865499997189,0.976453680175896,2.80040972725531,690,"9026",1,"hliml_fail_no_convergence","step2_weighted",2.00865499997186,0.976453680175887,NA,NA,2.00865499997186,0.976453680175887,"ok",3.06421554796543e-14,FALSE
"70_8484",1.63551538779439,4.18075222837409,2.81378364179874,70,"8484",1,"hliml_fail_no_convergence","step2_weighted",1.63551538779446,4.18075222837477,NA,NA,1.63551538779446,4.18075222837477,"ok",-7.26085858104852e-14,FALSE
"703_8404",5.48865623522394,1e-04,2.59627795483101,703,"8404",1,"hliml_fail_no_convergence","step2_weighted",5.48865623522396,1e-04,NA,NA,5.48865623522396,1e-04,"ok",-2.1316282072803e-14,FALSE
"703_8452",2.18965055352591,1.4218522902252,3.04714115520842,703,"8452",0,"ok","hliml",2.189650553524,1.42185229022109,2.189650553524,1.42185229022109,2.43592093988598,1.91943774494332,"ok",1.90869542393557e-12,FALSE
"724_8212",5.81638499438889,1e-04,3.36328723015507,724,"8212",1,"hliml_fail_no_convergence","step2_weighted",5.8163849943889,1e-04,NA,NA,5.8163849943889,1e-04,"ok",-6.21724893790088e-15,FALSE
"736_0406",1.24017059627064,0.152277270749776,2.91908426558204,736,"0406",1,"hliml_fail_no_convergence","step2_weighted",1.24017059627064,0.152277270749777,NA,NA,1.24017059627064,0.152277270749777,"ok",-1.11022302462516e-15,FALSE
